date,ratings
2010-11-7,0.663
2011-0-2,0.864
2011-1-8,1.269
2011-2-8,1.345
2011-3-3,0.967
2011-4-2,1.042
2011-5-5,0.673
2011-5-27,0.673
2011-6-8,0.618
2011-7-3,0.599
2011-8-10,0.59
2011-9-9,0.622
2011-10-7,0.529
2011-11-4,0.563
2012-0-8,0.545
2012-1-5,0.52
2012-2-11,0.428
2012-3-8,0.47
2012-4-9,0.517
2012-5-10,0.538
2012-6-4,0.548
2012-7-10,0.502
2012-8-2,0.53
2012-9-5,0.568
2012-10-4,0.585
2012-11-2,0.58
2013-0-5,0.629
2013-1-8,0.64
2013-2-11,0.633
2013-3-7,0.71
2013-4-8,0.638
2013-5-9,0.5
2013-6-7,0.581
2013-6-12,0.581
2013-7-4,0.616
2013-8-11,0.48
2013-9-10,0.471
2013-10-9,0.532
2013-11-6,0.583
2014-0-1,0.491
2014-1-8,0.402
2014-2-3,0.732
2014-3-10,0.853
2014-4-7,0.773
2014-5-8,0.771
2014-6-6,0.777
2014-7-11,0.654
2014-8-1,0.582
2014-9-3,0.411
2014-10-8,0.599
2014-11-7,0.523
2015-0-6,1.171
2015-1-5,0.751
2015-2-7,0.62
2015-3-13,0.656
2015-4-13,0.761
2015-5-6,0.754
2015-6-12,1.535
2015-7-6,1.76
2015-8-5,1.806
2015-9-4,1.573
2015-10-7,1.883
2015-11-4,1.926
2016-0-2,2.095
2016-1-2,1.828
2016-2-3,1.847
2016-3-7,2.193
2016-4-6,1.883
2016-5-5,2.119
2016-6-4,2.281
2016-7-6,2.364
2016-8-8,2.417
2016-9-7,2.232
2016-10-5,2.441
2016-11-4,2.539
2017-0-7,2.701
2017-1-8,2.107
2017-2-7,2.232
2017-3-9,2.168
2017-4-6,2.859
2017-5-3,2.252
2017-6-7,2.24
