date,ratings
2001-6-30,20.24
2001-7-30,20.773
2001-8-30,20.747
2001-9-28,20.772
2001-10-26,19.751
2001-11-28,19.212
2001-12-31,20.136
2002-1-30,18.825
2002-2-27,19.888
2002-3-29,19.852
2002-4-29,19.82
2002-5-29,19.987
2002-6-29,19.573
2002-7-31,19.251
2002-8-29,18.162
2002-9-29,18.695
2002-10-30,18.727
2002-11-29,17.505
2002-12-31,17.259
2003-1-31,18.249
2003-2-28,18.54
2003-3-31,17.213
2003-4-30,18.017
2003-5-30,18.501
2003-6-30,18.516
2003-7-31,17.969
2003-8-31,17.776
2003-9-30,18.309
2003-10-31,17.002
2003-11-30,18.473
2003-12-31,18.6
2004-1-31,18.195
2004-2-29,18.928
2004-3-31,17.75
2004-4-30,17.951
2004-5-30,18.29
2004-6-30,17.144
2004-7-31,16.335
2004-8-30,17.122
2004-9-30,18.172
2004-10-31,17.992
2004-11-30,19.696
2004-12-31,20.709
2005-1-31,19.82
2005-2-28,19.465
2005-3-31,18.63
2005-4-30,18.522
2005-5-31,19.368
2005-6-30,19.846
2005-7-31,19.473
2005-8-31,19.16
2005-9-30,18.773
2005-12-3,19.632
2006-1-4,19.008
2006-2-2,18.33
2006-3-1,17.794
2006-4-2,17.688
2006-5-1,17.69
2006-6-1,18.253
2006-7-2,17.829
2006-8-2,17.43
2006-9-2,18.059
2006-10-1,17.664
2006-11-2,17.198
2006-12-1,16.616
2007-1-2,15.807
2007-2-3,16.104
2007-3-3,15.633
2007-4-1,14.937
2007-5-5,15.152
2007-6-2,15.967
2007-7-2,16.363
2007-8-5,15.699
2007-9-2,14.908
2007-10-4,14.591
2007-11-4,13.969
2007-12-3,13.173
2008-1-3,13.916
2008-2-7,14.859
2008-6-1,15.513
2008-7-2,15.945
2008-8-3,16.178
2008-9-3,15.379
2008-10-6,15.565
2008-11-2,15.276
2008-12-3,15.017
2009-1-2,15.931
2009-2-1,15.837
2009-3-5,15.862
2009-4-7,15.472
2009-5-1,16.128
2009-6-4,16.779
2009-7-2,17.319
2009-8-1,17.22
2009-9-5,16.861
2009-10-2,16.843
2009-11-2,17.315
2009-12-2,16.285
2010-1-5,16.215
2010-2-7,16.602
2010-3-7,17.279
2010-4-5,18.058
2010-5-15,18.186
2010-7-6,18.48
2010-7-30,17.866
2010-9-11,17.147
2010-10-2,17.177
2010-11-3,16.717
2010-12-7,16.076
2011-1-2,15.822
2011-2-8,14.986
2011-3-8,15.262
2011-4-3,16.162
2011-5-2,16.17
2011-6-5,16.278
2011-6-27,16.278
2011-7-8,17.28
2011-8-3,17.39
2011-9-10,18.002
2011-10-9,17.707
2011-11-7,17.322
2011-12-4,17.057
2012-1-8,16.967
2012-2-5,16.523
2012-3-11,17.087
2012-4-8,17.555
2012-5-9,17.346
2012-6-10,17.725
2012-7-4,18.331
2012-8-10,18.937
2012-9-2,19.295
2012-10-5,19.822
2012-11-4,19.224
2012-12-2,18.696
2013-1-5,17.855
2013-2-8,17.08
2013-3-11,17.141
2013-4-7,17.862
2013-5-8,18.729
2013-6-9,17.809
2013-7-7,17.628
2013-7-12,17.628
2013-8-4,15.974
2013-9-11,16.975
2013-10-10,17.246
2013-11-9,18.155
2013-12-6,17.89
2014-1-1,17.944
2014-2-8,18.334
2014-3-3,17.535
2014-4-10,17.631
2014-5-7,16.926
2014-6-8,16.191
2014-7-6,17.145
2014-8-11,16.401
2014-9-1,16.721
2014-10-3,17.655
2014-11-8,17.469
2014-12-7,17.588
2015-1-6,16.703
2015-2-5,16.488
2015-3-7,16.642
2015-4-13,15.745
2015-5-13,16.847
2015-6-6,16.788
2015-7-12,16.147
2015-8-6,14.732
2015-9-5,15.621
2015-10-4,16.19
2015-11-7,17.145
2015-12-4,16.46
2016-1-2,16.036
2016-2-2,15.594
2016-3-3,14.6
2016-4-7,13.905
2016-5-6,13.223
2016-6-5,12.376
2016-7-4,12.238
2016-8-6,11.303
2016-9-8,10.955
2016-10-7,9.835
2016-11-5,9.203
2016-12-4,8.726
2017-1-7,9.349
2017-2-8,8.445
2017-3-7,7.742
2017-4-9,6.966
2017-5-6,7.002
2017-6-3,6.848
2017-7-7,7.321
