date,ratings
2001-6-30,14.2
2001-7-30,16.111
2001-8-30,16.124
2001-9-28,15.852
2001-10-26,16.097
2001-11-28,15.673
2001-12-31,14.963
2002-1-30,15.182
2002-2-27,15.537
2002-3-29,15.912
2002-4-29,15.372
2002-5-29,14.857
2002-6-29,14.179
2002-7-31,14.939
2002-8-29,14.769
2002-9-29,15.897
2002-10-30,15.035
2002-11-29,13.644
2002-12-31,13.186
2003-1-31,14.634
2003-2-28,15.533
2003-3-31,14.572
2003-4-30,15.801
2003-5-30,15.584
2003-6-30,16.719
2003-7-31,16.577
2003-8-31,17.531
2003-9-30,16.173
2003-10-31,16.312
2003-11-30,17.422
2003-12-31,16.083
2004-1-31,15.71
2004-2-29,14.5
2004-3-31,15.99
2004-4-30,12.27
2004-5-30,12.548
2004-6-30,13.442
2004-7-31,15.306
2004-8-30,14.916
2004-9-30,15.016
2004-10-31,13.865
2004-11-30,11.914
2004-12-31,11.927
2005-1-31,11.337
2005-2-28,11.632
2005-3-31,10.191
2005-4-30,9.903
2005-5-31,9.722
2005-6-30,11.06
2005-7-31,10.514
2005-8-31,11.168
2005-9-30,11.82
2005-12-3,11.027
2006-1-4,11.465
2006-2-2,11.295
2006-3-1,11.159
2006-4-2,10.9
2006-5-1,10.935
2006-6-1,10.67
2006-7-2,9.779
2006-8-2,10.254
2006-9-2,10.753
2006-10-1,11.063
2006-11-2,11.055
2006-12-1,10.409
2007-1-2,10.425
2007-2-3,10.768
2007-3-3,11.109
2007-4-1,10.718
2007-5-5,10.114
2007-6-2,11.118
2007-7-2,10.502
2007-8-5,10.111
2007-9-2,9.938
2007-10-4,9.584
2007-11-4,8.75
2007-12-3,7.871
2008-1-3,8.73
2008-2-7,9.274
2008-6-1,10.806
2008-7-2,10.693
2008-8-3,10.057
2008-9-3,10.716
2008-10-6,10.954
2008-11-2,10.357
2008-12-3,10.096
2009-1-2,10.116
2009-2-1,9.633
2009-3-5,10.357
2009-4-7,10.741
2009-5-1,11.068
2009-6-4,10.594
2009-7-2,10.419
2009-8-1,10.501
2009-9-5,9.988
2009-10-2,9.879
2009-11-2,10.002
2009-12-2,9.175
2010-1-5,9.709
2010-2-7,9.447
2010-3-7,9.61
2010-4-5,9.707
2010-5-15,10.378
2010-7-6,10.469
2010-7-30,9.658
2010-9-11,9.812
2010-10-2,9.802
2010-11-3,9.497
2010-12-7,9.014
2011-1-2,8.783
2011-2-8,8.187
2011-3-8,8.754
2011-4-3,9.225
2011-5-2,9.146
2011-6-5,9.83
2011-6-27,9.83
2011-7-8,9.017
2011-8-3,8.433
2011-9-10,8.849
2011-10-9,9.072
2011-11-7,8.084
2011-12-4,8.252
2012-1-8,8.052
2012-2-5,7.853
2012-3-11,8.047
2012-4-8,8.896
2012-5-9,9.825
2012-6-10,9.358
2012-7-4,9.118
2012-8-10,9.333
2012-9-2,9.147
2012-10-5,9.26
2012-11-4,9.698
2012-12-2,9.203
2013-1-5,9.14
2013-2-8,8.758
2013-3-11,9.115
2013-4-7,9.714
2013-5-8,9.198
2013-6-9,8.819
2013-7-7,8.749
2013-7-12,8.749
2013-8-4,9.371
2013-9-11,8.664
2013-10-10,8.664
2013-11-9,8.369
2013-12-6,8.268
2014-1-1,7.562
2014-2-8,6.892
2014-3-3,6.313
2014-4-10,6.137
2014-5-7,5.986
2014-6-8,6.425
2014-7-6,5.52
2014-8-11,4.695
2014-9-1,4.674
2014-10-3,4.868
2014-11-8,6.098
2014-12-7,6.104
2015-1-6,6.705
2015-2-5,6.612
2015-3-7,6.636
2015-4-13,6.962
2015-5-13,7.875
2015-6-6,7.756
2015-7-12,8.641
2015-8-6,7.735
2015-9-5,6.782
2015-10-4,5.749
2015-11-7,6.198
2015-12-4,5.943
2016-1-2,6.914
2016-2-2,6.907
2016-3-3,6.721
2016-4-7,5.918
2016-5-6,6.698
2016-6-5,6.199
2016-7-4,6.311
2016-8-6,5.8
2016-9-8,6.657
2016-10-7,5.797
2016-11-5,5.415
2016-12-4,5.335
2017-1-7,6.301
2017-2-8,5.429
2017-3-7,5.184
2017-4-9,4.554
2017-5-6,4.751
2017-6-3,5.723
2017-7-7,5.576
