date,ratings
2001-5-30,3.582
2001-6-30,2.908
2001-7-30,1.873
2001-8-28,2.405
2001-9-26,2.775
2001-10-28,2.74
2001-11-31,1.289
2002-0-30,1.192
2002-1-27,1.266
2002-2-29,1.251
2002-3-29,1.483
2002-4-29,1.47
2002-5-29,1.325
2002-6-31,1.433
2002-7-29,1.61
2002-8-29,1.399
2002-9-30,1.517
2002-10-29,1.587
2002-11-31,1.603
2003-0-31,1.435
2003-1-28,1.37
2003-2-31,1.443
2003-3-30,1.055
2003-4-30,1.471
2003-5-30,1.572
2003-6-31,1.877
2003-7-31,1.588
2003-8-30,1.394
2003-9-31,1.54
2003-10-30,0.832
2003-11-31,0.804
2004-0-31,0.725
2004-1-29,0.793
2004-2-31,0.823
2004-3-30,4.111
2004-4-30,3.399
2004-5-30,4.486
2004-6-31,4.814
2004-7-30,5.865
2004-8-30,4.465
2004-9-31,5.31
2004-10-30,2.977
2004-11-31,2.572
2005-0-31,1.895
2005-1-28,2.141
2005-2-31,3.682
2005-3-30,2.251
2005-4-31,2.89
2005-5-30,1.738
2005-6-31,1.763
2005-7-31,1.67
2005-8-30,1.495
2005-11-3,1.427
2006-0-4,1.582
2006-1-2,1.972
2006-2-1,1.843
2006-3-2,1.443
2006-4-1,1.766
2006-5-1,2.393
2006-6-2,2.037
2006-7-2,2.162
2006-8-2,2.105
2006-9-1,2.149
2006-10-2,2.252
2006-11-1,2.569
2007-0-2,2.336
2007-1-3,2.077
2007-2-3,1.76
2007-3-1,2.334
2007-4-5,2.13
2007-5-2,1.573
2007-6-2,1.498
2007-7-5,1.222
2007-8-2,1.224
2007-9-4,1.539
2007-10-4,2.456
2007-11-3,2.673
2008-0-3,3.335
2008-1-7,2.798
2008-5-1,2.022
2008-6-2,2.011
2008-7-3,2.732
2008-8-3,3.055
2008-9-6,3.288
2008-10-2,4.006
2008-11-3,2.356
2009-0-2,3.303
2009-1-1,3.624
2009-2-5,2.71
2009-3-7,2.272
2009-4-1,2.327
2009-5-4,2.182
2009-6-2,1.998
2009-7-1,2.337
2009-8-5,1.972
2009-9-2,2.134
2009-10-2,2.127
2009-11-2,2.301
2010-0-5,2.392
2010-1-7,2.656
2010-2-7,2.684
2010-3-5,2.715
2010-4-15,2.566
2010-6-6,2.323
2010-6-30,2.428
2010-8-11,1.585
2010-9-2,1.558
2010-10-3,1.638
2010-11-7,2.171
2011-0-2,1.287
2011-1-8,1.06
2011-2-8,0.997
2011-3-3,1.034
2011-4-2,1.073
2011-5-5,1.07
2011-5-27,1.07
2011-6-8,0.887
2011-7-3,1.076
2011-8-10,1.313
2011-9-9,1.104
2011-10-7,0.872
2011-11-4,1.245
2012-0-8,1.572
2012-1-5,1.964
2012-2-11,1.727
2012-3-8,1.37
2012-4-9,1.004
2012-5-10,1.15
2012-6-4,1.157
2012-7-10,1.012
2012-8-2,0.993
2012-9-5,1.097
2012-10-4,0.995
2012-11-2,0.977
2013-0-5,0.919
2013-1-8,0.886
2013-2-11,0.889
2013-3-7,0.84
2013-4-8,0.731
2013-5-9,0.602
2013-6-7,0.691
2013-6-12,0.691
2013-7-4,0.918
2013-8-11,0.897
2013-9-10,0.701
2013-10-9,0.649
2013-11-6,0.691
2014-0-1,0.597
2014-1-8,0.522
2014-2-3,0.881
2014-3-10,0.746
2014-4-7,0.974
2014-5-8,0.833
2014-6-6,1.031
2014-7-11,0.915
2014-8-1,1.157
2014-9-3,1.812
2014-10-8,0.957
2014-11-7,1.118
2015-0-6,0.837
2015-1-5,1.574
2015-2-7,1.154
2015-3-13,1.469
2015-4-13,1.302
2015-5-6,1.869
2015-6-12,1.48
2015-7-6,1.407
2015-8-5,1.745
2015-9-4,1.637
2015-10-7,1.682
2015-11-4,1.639
2016-0-2,1.786
2016-1-2,2.163
2016-2-3,2.005
2016-3-7,2.214
2016-4-6,2.008
2016-5-5,1.939
2016-6-4,2.045
2016-7-6,2.278
2016-8-8,2.169
2016-9-7,1.875
2016-10-5,1.95
2016-11-4,1.95
2017-0-7,2.561
2017-1-8,2.479
2017-2-7,2.544
2017-3-9,2.816
2017-4-6,2.038
2017-5-3,2.158
2017-6-7,2.49
