date,ratings
2001-6-30,0.321
2001-7-30,0.292
2001-8-30,0.32
2001-9-28,0.306
2001-10-26,0.306
2001-11-28,0.311
2001-12-31,0.291
2002-1-30,0.282
2002-2-27,0.302
2002-3-29,0.3
2002-4-29,0.307
2002-5-29,0.301
2002-6-29,0.317
2002-7-31,0.273
2002-8-29,0.305
2002-12-31,0.289
2003-1-31,0.321
2003-2-28,0.308
2003-3-31,0.28
2003-4-30,0.283
2003-5-30,0.322
2003-6-30,0.34
2003-7-31,0.327
2003-8-31,0.323
2003-9-30,0.326
2003-10-31,0.405
2003-11-30,0.246
2003-12-31,0.253
2004-1-31,0.232
2004-2-29,0.23
2004-3-31,0.271
2004-4-30,0.265
2004-5-30,0.27
2004-6-30,0.247
2004-7-31,0.276
2004-8-30,0.258
2004-9-30,0.342
2004-10-31,0.329
2004-11-30,0.444
2004-12-31,0.424
2005-1-31,0.402
2005-2-28,0.399
2005-3-31,0.424
2005-4-30,0.392
2005-5-31,0.78
2005-6-30,0.657
2005-7-31,0.296
2005-8-31,0.317
2005-9-30,0.345
2005-12-3,0.358
2006-1-4,0.331
2006-2-2,0.328
2006-3-1,0.351
2006-4-2,0.335
2006-5-1,0.33
2006-6-1,0.328
2006-7-2,0.319
2006-8-2,0.338
2006-9-2,0.365
2006-10-1,0.322
2006-11-2,0.308
2006-12-1,0.333
2007-1-2,0.348
2007-2-3,0.362
2007-3-3,0.396
2007-4-1,0.374
2007-5-5,0.373
2007-6-2,0.39
2007-7-2,0.368
2007-8-5,0.352
2007-9-2,0.364
2007-10-4,0.35
2007-11-4,0.525
2007-12-3,0.649
2008-1-3,0.241
2008-2-7,0.196
2008-6-1,0.263
2008-7-2,0.253
2008-8-3,0.239
2008-9-3,0.255
2008-10-6,0.404
2008-11-2,0.466
2008-12-3,0.446
2009-1-2,0.43
2009-2-1,0.417
2009-3-5,0.458
2009-4-7,0.482
2009-5-1,0.517
2009-6-4,0.527
2009-7-2,0.512
2009-8-1,0.56
2009-9-5,0.506
2009-10-2,0.574
2009-11-2,0.611
2009-12-2,0.58
2010-1-5,0.54
2010-2-7,0.536
2010-3-7,0.661
2010-4-5,0.616
2010-5-15,0.612
2010-7-6,0.581
2010-7-30,0.627
2010-9-11,0.605
2010-10-2,0.627
2010-11-3,0.636
2010-12-7,0.605
2011-1-2,0.706
2011-2-8,0.483
2011-3-8,0.452
2011-4-3,0.457
2011-5-2,0.443
2011-6-5,0.476
2011-6-27,0.476
2011-7-8,0.452
2011-8-3,0.444
2011-9-10,0.543
2011-10-9,0.573
2011-11-7,0.955
2011-12-4,0.536
2012-1-8,0.512
2012-2-5,0.493
2012-3-11,0.456
2012-4-8,0.573
2012-5-9,0.485
2012-6-10,0.563
2012-7-4,0.639
2012-8-10,0.533
2012-9-2,0.563
2012-10-5,0.591
2012-11-4,0.62
2012-12-2,0.608
2013-1-5,0.641
2013-2-8,0.648
2013-3-11,0.613
2013-4-7,0.517
2013-5-8,0.591
2013-6-9,0.563
2013-7-7,0.68
2013-7-12,0.68
2013-8-4,0.841
2013-9-11,0.639
2013-10-10,0.614
2013-11-9,0.656
2013-12-6,0.708
2014-1-1,0.767
2014-2-8,0.641
2014-3-3,0.688
2014-4-10,0.76
2014-5-7,0.711
2014-6-8,0.774
2014-7-6,0.781
2014-8-11,0.733
2014-9-1,0.818
2014-10-3,0.608
2014-11-8,0.759
2014-12-7,0.867
2015-1-6,1.39
2015-2-5,1.033
2015-3-7,0.998
2015-4-13,1.263
2015-5-13,1.283
2015-6-6,1.436
2015-7-12,1.21
2015-8-6,1.232
2015-9-5,1.181
2015-10-4,1.159
2015-11-7,1.185
2015-12-4,1.168
2016-1-2,1.228
2016-2-2,1.091
2016-3-3,1.193
2016-4-7,1.344
2016-5-6,1.287
2016-6-5,1.447
2016-7-4,1.558
2016-8-6,1.538
2016-9-8,1.826
2016-10-7,1.619
2016-11-5,1.967
2016-12-4,1.818
2017-1-7,1.578
2017-2-8,1.723
2017-3-7,1.854
2017-4-9,2.045
2017-5-6,2.063
2017-6-3,1.996
2017-7-7,2.009
