date,ratings
2001-5-30,1.897
2001-6-30,1.378
2001-7-30,1.553
2001-8-28,1.552
2001-9-26,1.778
2001-10-28,4.874
2001-11-31,7.274
2002-0-30,8.274
2002-1-27,7.442
2002-2-29,7.029
2002-3-29,5.049
2002-4-29,5.215
2002-5-29,5.178
2002-6-31,6.498
2002-7-29,5.349
2002-8-29,4.96
2002-9-30,5.275
2002-10-29,7.298
2002-11-31,7.611
2003-0-31,4.493
2003-1-28,4.009
2003-2-31,4.606
2003-3-30,4.533
2003-4-30,4.783
2003-5-30,3.833
2003-6-31,4.679
2003-7-31,5.436
2003-8-30,5.795
2003-9-31,3.57
2003-10-30,5.736
2003-11-31,6.311
2004-0-31,7.257
2004-1-29,7.631
2004-2-31,9.761
2004-3-30,7.171
2004-4-30,8.71
2004-5-30,10.323
2004-6-31,10.427
2004-7-30,8.231
2004-8-30,7.421
2004-9-31,7.586
2004-10-30,11.448
2004-11-31,9.482
2005-0-31,10.278
2005-1-28,9.41
2005-2-31,8.724
2005-3-30,9.201
2005-4-31,7.974
2005-5-30,9.172
2005-6-31,7.873
2005-7-31,8.895
2005-8-30,9.671
2005-11-3,9.629
2006-0-4,9.402
2006-1-2,8.916
2006-2-1,9.948
2006-3-2,10.88
2006-4-1,10.22
2006-5-1,9.593
2006-6-2,10.35
2006-7-2,9.639
2006-8-2,9.128
2006-9-1,9.862
2006-10-2,9.209
2006-11-1,8.537
2007-0-2,7.943
2007-1-3,8.847
2007-2-3,9.458
2007-3-1,8.639
2007-4-5,8.738
2007-5-2,8.871
2007-6-2,8.653
2007-7-5,9.696
2007-8-2,10.204
2007-9-4,9.498
2007-10-4,8.687
2007-11-3,8.393
2008-0-3,9.195
2008-1-7,9.89
2008-5-1,10.206
2008-6-2,9.525
2008-7-3,9.349
2008-8-3,9.243
2008-9-6,8.612
2008-10-2,8.94
2008-11-3,9.128
2009-0-2,8.882
2009-1-1,8.779
2009-2-5,9.485
2009-3-7,9.888
2009-4-1,9.921
2009-5-4,9.675
2009-6-2,9.269
2009-7-1,9.39
2009-8-5,10.156
2009-9-2,10.355
2009-10-2,10.176
2009-11-2,9.77
2010-0-5,10.071
2010-1-7,10.001
2010-2-7,9.908
2010-3-5,9.662
2010-4-15,9.073
2010-6-6,8.566
2010-6-30,9.18
2010-8-11,8.37
2010-9-2,8.323
2010-10-3,7.813
2010-11-7,7.511
2011-0-2,7.835
2011-1-8,6.973
2011-2-8,6.566
2011-3-3,6.584
2011-4-2,6.508
2011-5-5,6.602
2011-5-27,6.602
2011-6-8,6.179
2011-7-3,6.134
2011-8-10,6.596
2011-9-9,6.818
2011-10-7,6.096
2011-11-4,6.001
2012-0-8,5.703
2012-1-5,5.641
2012-2-11,5.555
2012-3-8,5.288
2012-4-9,5.711
2012-5-10,5.287
2012-6-4,5.012
2012-7-10,5.524
2012-8-2,5.614
2012-9-5,5.669
2012-10-4,5.732
2012-11-2,5.541
2013-0-5,5.546
2013-1-8,5.074
2013-2-11,4.809
2013-3-7,5.428
2013-4-8,5.784
2013-5-9,5.987
2013-6-7,7.186
2013-6-12,7.186
2013-7-4,6.694
2013-8-11,6.43
2013-9-10,6.094
2013-10-9,5.379
2013-11-6,5.281
2014-0-1,4.608
2014-1-8,4.219
2014-2-3,3.698
2014-3-10,2.773
2014-4-7,3.386
2014-5-8,2.848
2014-6-6,2.916
2014-7-11,2.864
2014-8-1,3.121
2014-9-3,2.942
2014-10-8,3.043
2014-11-7,2.746
2015-0-6,3.784
2015-1-5,3.17
2015-2-7,3.997
2015-3-13,3.009
2015-4-13,2.72
2015-5-6,2.868
2015-6-12,2.893
2015-7-6,2.729
2015-8-5,2.53
2015-9-4,2.561
2015-10-7,3.248
2015-11-4,2.792
2016-0-2,2.706
2016-1-2,2.77
2016-2-3,2.768
2016-3-7,2.994
2016-4-6,2.992
2016-5-5,3.227
2016-6-4,3.272
2016-7-6,3.173
2016-8-8,2.847
2016-9-7,2.741
2016-10-5,3.125
2016-11-4,2.919
2017-0-7,2.564
2017-1-8,3.072
2017-2-7,3.009
2017-3-9,3.376
2017-4-6,2.693
2017-5-3,2.774
2017-6-7,3.093
