date,ratings
2003-9-31,0.04
2003-10-30,0.025
2003-11-31,0.023
2004-0-31,0.023
2004-1-29,0.017
2004-2-31,0.014
2004-3-30,0.014
2004-4-30,2.276
2004-5-30,2.927
2004-6-31,2.856
2004-7-30,2.693
2004-8-30,3.167
2004-9-31,3.003
2004-10-30,3.445
2004-11-31,3.314
2005-0-31,3.373
2005-1-28,3.345
2005-2-31,3.491
2005-3-30,3.304
2005-4-31,2.65
2005-5-30,1.044
2005-6-31,0.966
2005-7-31,0.959
2005-8-30,0.958
2005-11-3,0.971
2006-0-4,1.033
2006-1-2,0.97
2006-2-1,0.991
2006-3-2,1.009
2006-4-1,1.011
2006-5-1,0.959
2006-6-2,0.956
2006-7-2,1.151
2006-8-2,1.038
2006-9-1,1.093
2006-10-2,1.223
2006-11-1,1.345
2007-0-2,1.57
2007-1-3,1.628
2007-2-3,1.549
2007-3-1,1.892
2007-4-5,1.979
2007-5-2,2.015
2007-6-2,1.967
2007-7-5,1.833
2007-8-2,1.86
2007-9-4,1.966
2007-10-4,1.179
2007-11-3,1.394
2008-0-3,1.23
2008-1-7,0.981
2008-5-1,0.759
2008-6-2,0.736
2008-7-3,0.679
2008-8-3,0.7
2008-9-6,1.024
2008-10-2,0.939
2008-11-3,1.171
2009-0-2,1.006
2009-1-1,0.988
2009-2-5,1.042
2009-3-7,1.086
2009-4-1,1.101
2009-5-4,0.879
2009-6-2,0.891
2009-7-1,0.982
2009-8-5,0.819
2009-9-2,1.016
2009-10-2,0.908
2009-11-2,1.494
2010-0-5,0.718
2010-1-7,0.738
2010-2-7,0.737
2010-3-5,0.71
2010-4-15,0.859
2010-6-6,0.772
2010-6-30,0.757
2010-8-11,0.637
2010-9-2,0.605
2010-10-3,0.655
2010-11-7,0.566
2011-0-2,0.557
2011-1-8,0.414
2011-2-8,0.408
2011-3-3,0.457
2011-4-2,0.5
2011-5-5,0.502
2011-5-27,0.502
2011-6-8,0.544
2011-7-3,0.525
2011-8-10,0.72
2011-9-9,0.903
2011-10-7,1.438
2011-11-4,0.803
2012-0-8,0.705
2012-1-5,0.792
2012-2-11,1.418
2012-3-8,1.373
2012-4-9,1.119
2012-5-10,0.637
2012-6-4,0.645
2012-7-10,0.61
2012-8-2,0.604
2012-9-5,0.63
2012-10-4,0.632
2012-11-2,0.574
2013-0-5,0.585
2013-1-8,0.608
2013-2-11,0.921
2013-3-7,0.715
2013-4-8,0.708
2013-5-9,0.657
2013-6-7,0.92
2013-6-12,0.92
2013-7-4,0.751
2013-8-11,0.676
2013-9-10,0.73
2013-10-9,0.605
2013-11-6,0.598
2014-0-1,0.633
2014-1-8,0.604
2014-2-3,0.713
2014-3-10,0.782
2014-4-7,0.641
2014-5-8,0.492
2014-6-6,0.23
2014-7-11,0.786
2014-8-1,0.809
2014-9-3,0.676
2014-10-8,0.87
2014-11-7,1.33
2015-0-6,2.014
2015-1-5,1.263
2015-2-7,1.032
2015-3-13,1.11
2015-4-13,1.127
2015-5-6,1.229
2015-6-12,1.221
2015-7-6,1.137
2015-8-5,1.082
2015-9-4,1.067
2015-10-7,1.032
2015-11-4,1.103
2016-0-2,1.016
2016-1-2,1.062
2016-2-3,1.193
2016-3-7,1.314
2016-4-6,1.208
2016-5-5,1.346
2016-6-4,1.456
2016-7-6,1.349
2016-8-8,1.443
2016-9-7,1.531
2016-10-5,1.512
2016-11-4,1.495
2017-0-7,1.539
2017-1-8,1.549
2017-2-7,1.672
2017-3-9,1.619
2017-4-6,1.676
2017-5-3,1.566
2017-6-7,1.545
