date,ratings
2001-5-30,1.25
2001-6-30,1.135
2001-7-30,1.197
2001-8-28,1.17
2001-9-26,1.284
2001-10-28,1.234
2001-11-31,1.043
2002-0-30,1.017
2002-1-27,0.987
2002-2-29,0.989
2002-3-29,1.069
2002-4-29,1.057
2002-5-29,1.125
2002-6-31,1.081
2002-7-29,1.217
2002-8-29,1.081
2002-9-30,1.187
2002-10-29,1.005
2002-11-31,1.002
2003-0-31,1.033
2003-1-28,0.974
2003-2-31,0.988
2003-3-30,1.007
2003-4-30,1.161
2003-5-30,1.285
2003-6-31,1.297
2003-7-31,1.425
2003-8-30,1.486
2003-9-31,1.766
2003-10-30,1.097
2003-11-31,1.125
2004-0-31,1.006
2004-1-29,1.018
2004-2-31,1.008
2004-3-30,4.565
2004-4-30,6.579
2004-5-30,4.963
2004-6-31,4.704
2004-7-30,5.597
2004-8-30,4.438
2004-9-31,5.2
2004-10-30,3.029
2004-11-31,2.842
2005-0-31,2.506
2005-1-28,2.424
2005-2-31,2.697
2005-3-30,2.48
2005-4-31,2.802
2005-5-30,2.525
2005-6-31,2.883
2005-7-31,3.032
2005-8-30,2.882
2005-11-3,2.678
2006-0-4,2.605
2006-1-2,2.669
2006-2-1,3.093
2006-3-2,2.759
2006-4-1,3.042
2006-5-1,3.464
2006-6-2,3.017
2006-7-2,3.071
2006-8-2,3.144
2006-9-1,3.466
2006-10-2,3.641
2006-11-1,3.762
2007-0-2,3.502
2007-1-3,3.566
2007-2-3,3.897
2007-3-1,3.814
2007-4-5,3.779
2007-5-2,3.161
2007-6-2,3.024
2007-7-5,2.749
2007-8-2,3.025
2007-9-4,3.433
2007-10-4,4.227
2007-11-3,4.697
2008-0-3,5.538
2008-1-7,4.763
2008-5-1,4.899
2008-6-2,4.973
2008-7-3,4.975
2008-8-3,5.012
2008-9-6,4.565
2008-10-2,5.14
2008-11-3,4.169
2009-0-2,4.731
2009-1-1,4.567
2009-2-5,5.185
2009-3-7,6.08
2009-4-1,5.548
2009-5-4,4.756
2009-6-2,4.435
2009-7-1,4.489
2009-8-5,3.93
2009-9-2,3.901
2009-10-2,4.672
2009-11-2,5.185
2010-0-5,4.453
2010-1-7,4.314
2010-2-7,4.23
2010-3-5,4.205
2010-4-15,4.097
2010-6-6,4.217
2010-6-30,4.223
2010-8-11,4.583
2010-9-2,4.86
2010-10-3,5.679
2010-11-7,6.482
2011-0-2,6.265
2011-1-8,7.038
2011-2-8,5.737
2011-3-3,4.931
2011-4-2,4.583
2011-5-5,3.899
2011-5-27,3.899
2011-6-8,3.583
2011-7-3,3.415
2011-8-10,4.0
2011-9-9,3.944
2011-10-7,3.617
2011-11-4,3.492
2012-0-8,3.213
2012-1-5,3.148
2012-2-11,3.291
2012-3-8,3.665
2012-4-9,3.819
2012-5-10,3.848
2012-6-4,4.0
2012-7-10,3.876
2012-8-2,3.861
2012-9-5,3.895
2012-10-4,4.062
2012-11-2,3.848
2013-0-5,4.173
2013-1-8,4.949
2013-2-11,4.388
2013-3-7,4.442
2013-4-8,4.322
2013-5-9,4.183
2013-6-7,4.035
2013-6-12,4.035
2013-7-4,3.603
2013-8-11,3.169
2013-9-10,3.107
2013-10-9,3.11
2013-11-6,2.21
2014-0-1,2.373
2014-1-8,2.157
2014-2-3,2.021
2014-3-10,1.993
2014-4-7,3.057
2014-5-8,2.71
2014-6-6,2.656
2014-7-11,3.121
2014-8-1,2.782
2014-9-3,2.333
2014-10-8,2.589
2014-11-7,2.287
2015-0-6,2.613
2015-1-5,2.882
2015-2-7,2.614
2015-3-13,2.69
2015-4-13,3.725
2015-5-6,3.999
2015-6-12,4.257
2015-7-6,4.066
2015-8-5,3.664
2015-9-4,4.512
2015-10-7,3.771
2015-11-4,4.429
2016-0-2,3.854
2016-1-2,4.18
2016-2-3,4.257
2016-3-7,3.33
2016-4-6,3.789
2016-5-5,3.9
2016-6-4,4.166
2016-7-6,4.404
2016-8-8,4.302
2016-9-7,3.775
2016-10-5,3.567
2016-11-4,4.239
2017-0-7,3.465
2017-1-8,4.043
2017-2-7,3.919
2017-3-9,3.457
2017-4-6,3.548
2017-5-3,4.333
2017-6-7,3.543
