date,ratings
2007-4-5,0.065
2007-5-2,0.065
2007-6-2,0.069
2007-7-5,0.059
2007-8-2,0.072
2007-9-4,0.07
2007-10-4,0.086
2007-11-3,0.087
2008-0-3,0.045
2008-1-7,0.06
2008-5-1,0.094
2008-6-2,0.082
2008-7-3,0.062
2008-8-3,0.069
2008-9-6,0.072
2008-10-2,0.084
2008-11-3,0.073
2009-0-2,0.073
2009-1-1,0.078
2009-2-5,0.082
2009-3-7,0.089
2009-4-1,0.095
2009-5-4,0.098
2009-6-2,0.101
2009-7-1,0.107
2009-8-5,0.086
2009-9-2,0.099
2009-10-2,0.1
2009-11-2,0.11
2010-0-5,0.101
2010-1-7,0.136
2010-2-7,0.154
2010-3-5,0.136
2010-4-15,0.202
2010-6-6,0.173
2010-6-30,0.177
2010-8-11,0.329
2010-9-2,0.36
2010-10-3,0.365
2010-11-7,0.544
2011-0-2,0.543
2011-1-8,0.561
2011-2-8,0.489
2011-3-3,0.423
2011-4-2,0.429
2011-5-5,0.369
2011-5-27,0.369
2011-6-8,0.359
2011-7-3,0.404
2011-8-10,0.385
2011-9-9,0.422
2011-10-7,0.5
2011-11-4,0.522
2012-0-8,0.602
2012-1-5,0.623
2012-2-11,0.502
2012-3-8,0.38
2012-4-9,0.381
2012-5-10,0.438
2012-6-4,0.441
2012-7-10,0.435
2012-8-2,0.44
2012-9-5,0.416
2012-10-4,0.417
2012-11-2,0.453
2013-0-5,0.444
2013-1-8,0.461
2013-2-11,0.527
2013-3-7,0.484
2013-4-8,0.543
2013-5-9,0.48
2013-6-7,0.515
2013-6-12,0.515
2013-7-4,0.395
2013-8-11,0.646
2013-9-10,0.553
2013-10-9,0.406
2013-11-6,0.249
2014-0-1,0.252
2014-1-8,0.253
2014-2-3,0.227
2014-3-10,0.265
2014-4-7,0.383
2014-5-8,0.673
2014-6-6,0.411
2014-7-11,0.525
2014-8-1,0.801
2014-9-3,1.523
2014-10-8,1.548
2014-11-7,1.63
2015-0-6,1.042
2015-1-5,0.963
2015-2-7,0.951
2015-3-13,1.028
2015-4-13,1.444
2015-5-6,1.524
2015-6-12,1.229
2015-7-6,1.01
2015-8-5,1.045
2015-9-4,0.991
2015-10-7,1.013
2015-11-4,1.122
2016-0-2,1.054
2016-1-2,1.192
2016-2-3,1.285
2016-3-7,1.266
2016-4-6,1.334
2016-5-5,1.54
2016-6-4,1.514
2016-7-6,1.605
2016-8-8,1.684
2016-9-7,1.741
2016-10-5,1.715
2016-11-4,1.826
2017-0-7,1.787
2017-1-8,1.922
2017-2-7,2.016
2017-3-9,2.138
2017-4-6,2.192
2017-5-3,2.15
2017-6-7,2.105
