date,ratings
2014-6-6,1.054
2014-7-11,0.668
2014-8-1,0.852
2014-9-3,0.761
2014-10-8,0.834
2014-11-7,1.065
2015-0-6,0.747
2015-1-5,0.723
2015-2-7,0.816
2015-3-13,0.882
2015-4-13,1.115
2015-5-6,1.44
2015-6-12,1.234
2015-7-6,1.179
2015-8-5,1.188
2015-9-4,1.277
2015-10-7,1.236
2015-11-4,1.405
2016-0-2,1.363
2016-1-2,1.375
2016-2-3,1.587
2016-3-7,1.478
2016-4-6,1.593
2016-5-5,1.831
2016-6-4,1.96
2016-7-6,1.983
2016-8-8,1.93
2016-9-7,2.004
2016-10-5,2.039
2016-11-4,2.134
2017-0-7,1.932
2017-1-8,2.125
2017-2-7,2.268
2017-3-9,2.287
2017-4-6,2.274
2017-5-3,2.209
2017-6-7,2.253
