date,ratings
2010-1-5,1.247
2010-2-7,1.778
2010-3-7,0.921
2010-4-5,0.71
2010-5-15,0.64
2010-7-6,0.49
2010-7-30,0.603
2010-9-11,0.728
2010-10-2,0.626
2010-11-3,0.548
2010-12-7,0.587
2011-1-2,0.591
2011-2-8,0.707
2011-3-8,0.958
2011-4-3,0.557
2011-5-2,0.489
2011-6-5,0.424
2011-6-27,0.424
2011-7-8,0.374
2011-8-3,0.482
2011-9-10,0.358
2011-10-9,0.375
2011-11-7,0.364
2011-12-4,0.394
2012-1-8,0.466
2012-2-5,0.277
2012-3-11,0.086
2012-4-8,0.104
2012-5-9,0.097
2012-6-10,0.107
2012-7-4,0.105
2012-8-10,0.116
2012-9-2,0.107
2012-10-5,0.107
2012-11-4,0.112
2012-12-2,0.107
2013-1-5,0.118
2013-2-8,0.108
2013-3-11,0.117
2013-4-7,0.114
2013-5-8,0.107
2013-6-9,0.109
2013-7-7,0.222
2013-7-12,0.222
2013-8-4,0.508
2013-9-11,0.217
2013-10-10,0.19
2013-11-9,0.214
2013-12-6,0.263
2014-1-1,0.323
2014-2-8,0.316
2014-3-3,0.293
2014-4-10,0.324
2014-5-7,0.423
2014-6-8,0.425
2014-7-6,0.395
2014-8-11,0.367
2014-9-1,0.403
2014-10-3,0.332
2014-11-8,0.327
2014-12-7,0.261
2015-1-6,0.099
2015-2-5,0.302
2015-3-7,0.261
2015-4-13,0.297
2015-5-13,0.029
2015-6-6,0.064
2015-7-12,0.061
2015-8-6,0.08
2015-9-5,0.254
2015-10-4,0.137
2015-11-7,0.2
2015-12-4,0.195
2016-1-2,0.161
2016-2-2,0.294
2016-3-3,0.197
2016-4-7,0.24
2016-5-6,0.254
2016-6-5,0.209
2016-7-4,0.16
2016-8-6,1.27
2016-9-8,1.625
2016-10-7,1.809
2016-11-5,2.001
2016-12-4,1.939
2017-1-7,2.325
2017-2-8,2.105
2017-3-7,1.982
2017-4-9,1.974
2017-5-6,2.08
2017-6-3,2.044
2017-7-7,2.363
