date,ratings
2001-6-30,6.602
2001-7-30,6.779
2001-8-30,7.066
2001-9-28,7.314
2001-10-26,7.377
2001-11-28,7.23
2001-12-31,7.481
2002-1-30,7.151
2002-2-27,6.712
2002-3-29,6.612
2002-4-29,6.485
2002-5-29,6.662
2002-6-29,8.014
2002-7-31,9.291
2002-8-29,9.314
2002-9-29,8.33
2002-10-30,7.979
2002-11-29,8.726
2002-12-31,8.415
2003-1-31,8.665
2003-2-28,8.741
2003-3-31,10.611
2003-4-30,9.008
2003-5-30,9.439
2003-6-30,9.199
2003-7-31,8.981
2003-8-31,8.097
2003-9-30,8.344
2003-10-31,7.687
2003-11-30,8.938
2003-12-31,9.599
2004-1-31,9.476
2004-2-29,10.394
2004-3-31,7.766
2004-4-30,10.707
2004-5-30,10.376
2004-6-30,8.881
2004-7-31,8.44
2004-8-30,8.968
2004-9-30,8.818
2004-10-31,9.726
2004-11-30,7.42
2004-12-31,7.461
2005-1-31,8.861
2005-2-28,9.154
2005-3-31,10.197
2005-4-30,10.576
2005-5-31,10.371
2005-6-30,7.828
2005-7-31,9.884
2005-8-31,9.274
2005-9-30,7.449
2005-12-3,7.393
2006-1-4,7.045
2006-2-2,6.707
2006-3-1,6.421
2006-4-2,5.847
2006-5-1,6.05
2006-6-1,6.002
2006-7-2,5.626
2006-8-2,5.313
2006-9-2,5.43
2006-10-1,5.475
2006-11-2,6.228
2006-12-1,6.396
2007-1-2,6.237
2007-2-3,6.073
2007-3-3,6.42
2007-4-1,6.039
2007-5-5,6.152
2007-6-2,6.177
2007-7-2,5.328
2007-8-5,5.32
2007-9-2,5.416
2007-10-4,5.351
2007-11-4,4.738
2007-12-3,4.383
2008-1-3,5.247
2008-2-7,6.205
2008-6-1,5.548
2008-7-2,5.131
2008-8-3,4.694
2008-9-3,4.841
2008-10-6,4.419
2008-11-2,3.876
2008-12-3,3.401
2009-1-2,4.303
2009-2-1,4.117
2009-3-5,3.419
2009-4-7,3.462
2009-5-1,3.525
2009-6-4,3.909
2009-7-2,4.2
2009-8-1,4.028
2009-9-5,4.528
2009-10-2,3.763
2009-11-2,3.49
2009-12-2,2.692
2010-1-5,3.562
2010-2-7,3.6
2010-3-7,3.821
2010-4-5,3.553
2010-5-15,3.286
2010-7-6,3.099
2010-7-30,3.427
2010-9-11,2.447
2010-10-2,2.31
2010-11-3,2.472
2010-12-7,2.331
2011-1-2,2.857
2011-2-8,1.907
2011-3-8,1.969
2011-4-3,1.991
2011-5-2,2.231
2011-6-5,2.312
2011-6-27,2.312
2011-7-8,2.328
2011-8-3,2.315
2011-9-10,2.472
2011-10-9,2.432
2011-11-7,2.078
2011-12-4,2.472
2012-1-8,2.768
2012-2-5,2.931
2012-3-11,2.703
2012-4-8,2.387
2012-5-9,2.805
2012-6-10,2.221
2012-7-4,2.053
2012-8-10,2.273
2012-9-2,2.267
2012-10-5,2.126
2012-11-4,2.182
2012-12-2,2.174
2013-1-5,2.264
2013-2-8,2.252
2013-3-11,1.959
2013-4-7,2.335
2013-5-8,2.276
2013-6-9,2.273
2013-7-7,2.148
2013-7-12,2.148
2013-8-4,2.041
2013-9-11,1.692
2013-10-10,1.607
2013-11-9,1.521
2013-12-6,1.072
2014-1-1,0.922
2014-2-8,0.887
2014-3-3,1.149
2014-4-10,1.027
2014-5-7,1.47
2014-6-8,1.48
2014-7-6,1.627
2014-8-11,2.218
2014-9-1,1.369
2014-10-3,2.116
2014-11-8,2.073
2014-12-7,1.826
2015-1-6,2.256
2015-2-5,1.39
2015-3-7,1.332
2015-4-13,1.34
2015-5-13,1.82
2015-6-6,1.759
2015-7-12,1.812
2015-8-6,2.118
2015-9-5,1.899
2015-10-4,2.247
2015-11-7,2.032
2015-12-4,2.209
2016-1-2,1.841
2016-2-2,2.251
2016-3-3,2.251
2016-4-7,2.524
2016-5-6,2.326
2016-6-5,2.395
2016-7-4,2.428
2016-8-6,2.511
2016-9-8,2.333
2016-10-7,2.495
2016-11-5,2.361
2016-12-4,2.338
2017-1-7,2.75
2017-2-8,2.171
2017-3-7,2.261
2017-4-9,2.413
2017-5-6,2.602
2017-6-3,2.309
2017-7-7,2.334
