date,ratings
2003-10-31,0.04
2003-11-30,0.025
2003-12-31,0.023
2004-1-31,0.023
2004-2-29,0.017
2004-3-31,0.014
2004-4-30,0.014
2004-5-30,2.276
2004-6-30,2.927
2004-7-31,2.856
2004-8-30,2.693
2004-9-30,3.167
2004-10-31,3.003
2004-11-30,3.445
2004-12-31,3.314
2005-1-31,3.373
2005-2-28,3.345
2005-3-31,3.491
2005-4-30,3.304
2005-5-31,2.65
2005-6-30,1.044
2005-7-31,0.966
2005-8-31,0.959
2005-9-30,0.958
2005-12-3,0.971
2006-1-4,1.033
2006-2-2,0.97
2006-3-1,0.991
2006-4-2,1.009
2006-5-1,1.011
2006-6-1,0.959
2006-7-2,0.956
2006-8-2,1.151
2006-9-2,1.038
2006-10-1,1.093
2006-11-2,1.223
2006-12-1,1.345
2007-1-2,1.57
2007-2-3,1.628
2007-3-3,1.549
2007-4-1,1.892
2007-5-5,1.979
2007-6-2,2.015
2007-7-2,1.967
2007-8-5,1.833
2007-9-2,1.86
2007-10-4,1.966
2007-11-4,1.179
2007-12-3,1.394
2008-1-3,1.23
2008-2-7,0.981
2008-6-1,0.759
2008-7-2,0.736
2008-8-3,0.679
2008-9-3,0.7
2008-10-6,1.024
2008-11-2,0.939
2008-12-3,1.171
2009-1-2,1.006
2009-2-1,0.988
2009-3-5,1.042
2009-4-7,1.086
2009-5-1,1.101
2009-6-4,0.879
2009-7-2,0.891
2009-8-1,0.982
2009-9-5,0.819
2009-10-2,1.016
2009-11-2,0.908
2009-12-2,1.494
2010-1-5,0.718
2010-2-7,0.738
2010-3-7,0.737
2010-4-5,0.71
2010-5-15,0.859
2010-7-6,0.772
2010-7-30,0.757
2010-9-11,0.637
2010-10-2,0.605
2010-11-3,0.655
2010-12-7,0.566
2011-1-2,0.557
2011-2-8,0.414
2011-3-8,0.408
2011-4-3,0.457
2011-5-2,0.5
2011-6-5,0.502
2011-6-27,0.502
2011-7-8,0.544
2011-8-3,0.525
2011-9-10,0.72
2011-10-9,0.903
2011-11-7,1.438
2011-12-4,0.803
2012-1-8,0.705
2012-2-5,0.792
2012-3-11,1.418
2012-4-8,1.373
2012-5-9,1.119
2012-6-10,0.637
2012-7-4,0.645
2012-8-10,0.61
2012-9-2,0.604
2012-10-5,0.63
2012-11-4,0.632
2012-12-2,0.574
2013-1-5,0.585
2013-2-8,0.608
2013-3-11,0.921
2013-4-7,0.715
2013-5-8,0.708
2013-6-9,0.657
2013-7-7,0.92
2013-7-12,0.92
2013-8-4,0.751
2013-9-11,0.676
2013-10-10,0.73
2013-11-9,0.605
2013-12-6,0.598
2014-1-1,0.633
2014-2-8,0.604
2014-3-3,0.713
2014-4-10,0.782
2014-5-7,0.641
2014-6-8,0.492
2014-7-6,0.23
2014-8-11,0.786
2014-9-1,0.809
2014-10-3,0.676
2014-11-8,0.87
2014-12-7,1.33
2015-1-6,2.014
2015-2-5,1.263
2015-3-7,1.032
2015-4-13,1.11
2015-5-13,1.127
2015-6-6,1.229
2015-7-12,1.221
2015-8-6,1.137
2015-9-5,1.082
2015-10-4,1.067
2015-11-7,1.032
2015-12-4,1.103
2016-1-2,1.016
2016-2-2,1.062
2016-3-3,1.193
2016-4-7,1.314
2016-5-6,1.208
2016-6-5,1.346
2016-7-4,1.456
2016-8-6,1.349
2016-9-8,1.443
2016-10-7,1.531
2016-11-5,1.512
2016-12-4,1.495
2017-1-7,1.539
2017-2-8,1.549
2017-3-7,1.672
2017-4-9,1.619
2017-5-6,1.676
2017-6-3,1.566
2017-7-7,1.545
