date,ratings
2002-2-27,0.19
2002-3-29,0.189
2002-4-29,0.43
2002-5-29,0.426
2002-6-29,0.441
2002-7-31,0.394
2002-8-29,0.383
2002-9-29,0.372
2002-10-30,0.356
2002-11-29,0.331
2002-12-31,0.309
2003-1-31,0.326
2003-2-28,0.306
2003-3-31,0.289
2003-4-30,0.227
2003-5-30,0.25
2003-6-30,0.189
2003-7-31,0.189
2003-8-31,0.192
2003-9-30,0.191
2003-10-31,0.259
2003-11-30,0.162
2003-12-31,0.159
2004-1-31,0.147
2004-2-29,0.157
2004-3-31,0.196
2004-4-30,0.153
2004-5-30,0.162
2004-6-30,0.155
2004-7-31,0.154
2004-8-30,0.124
2004-9-30,0.176
2004-10-31,0.176
2004-11-30,0.222
2004-12-31,0.241
2005-1-31,0.236
2005-2-28,0.285
2005-3-31,0.297
2005-4-30,0.314
2005-5-31,0.379
2005-6-30,0.303
2005-7-31,0.266
2005-8-31,0.29
2005-9-30,0.32
2005-12-3,0.318
2006-1-4,0.371
2006-2-2,0.408
2006-3-1,0.466
2006-4-2,0.493
2006-5-1,0.456
2006-6-1,0.479
2006-7-2,0.506
2006-8-2,0.804
2006-9-2,0.938
2006-10-1,1.082
2006-11-2,1.717
2006-12-1,2.334
2007-1-2,2.519
2007-2-3,2.528
2007-3-3,2.773
2007-4-1,2.798
2007-5-5,2.632
2007-6-2,2.132
2007-7-2,2.099
2007-8-5,1.906
2007-9-2,2.065
2007-10-4,2.386
2007-11-4,3.084
2007-12-3,3.089
2008-1-3,2.345
2008-2-7,1.862
2008-6-1,2.64
2008-7-2,2.735
2008-8-3,2.92
2008-9-3,2.762
2008-10-6,2.86
2008-11-2,2.87
2008-12-3,4.034
2009-1-2,3.149
2009-2-1,3.278
2009-3-5,2.601
2009-4-7,2.569
2009-5-1,2.692
2009-6-4,2.629
2009-7-2,2.567
2009-8-1,2.49
2009-9-5,2.377
2009-10-2,2.45
2009-11-2,2.404
2009-12-2,2.653
2010-1-5,2.474
2010-2-7,2.439
2010-3-7,2.327
2010-4-5,2.221
2010-5-15,2.094
2010-7-6,1.982
2010-7-30,1.979
2010-9-11,1.907
2010-10-2,1.941
2010-11-3,1.907
2010-12-7,1.78
2011-1-2,1.784
2011-2-8,1.615
2011-3-8,1.498
2011-4-3,1.482
2011-5-2,1.421
2011-6-5,1.484
2011-6-27,1.484
2011-7-8,1.325
2011-8-3,1.329
2011-9-10,1.434
2011-10-9,1.526
2011-11-7,1.502
2011-12-4,1.494
2012-1-8,1.437
2012-2-5,1.558
2012-3-11,1.413
2012-4-8,1.51
2012-5-9,1.451
2012-6-10,1.683
2012-7-4,1.768
2012-8-10,1.691
2012-9-2,1.724
2012-10-5,1.802
2012-11-4,1.739
2012-12-2,1.728
2013-1-5,1.775
2013-2-8,1.752
2013-3-11,2.15
2013-4-7,1.972
2013-5-8,1.67
2013-6-9,1.479
2013-7-7,1.582
2013-7-12,1.582
2013-8-4,2.067
2013-9-11,1.382
2013-10-10,1.246
2013-11-9,1.303
2013-12-6,0.932
2014-1-1,1.062
2014-2-8,0.924
2014-3-3,0.974
2014-4-10,1.745
2014-5-7,1.242
2014-6-8,1.392
2014-7-6,1.072
2014-8-11,1.242
2014-9-1,1.281
2014-10-3,1.128
2014-11-8,1.211
2014-12-7,0.978
2015-1-6,1.13
2015-2-5,0.873
2015-3-7,1.03
2015-4-13,1.068
2015-5-13,1.273
2015-6-6,1.359
2015-7-12,1.378
2015-8-6,1.416
2015-9-5,1.783
2015-10-4,1.825
2015-11-7,2.038
2015-12-4,2.061
2016-1-2,2.047
2016-2-2,2.053
2016-3-3,2.238
2016-4-7,2.345
2016-5-6,2.338
2016-6-5,2.336
2016-7-4,2.122
2016-8-6,2.278
2016-9-8,1.965
2016-10-7,2.001
2016-11-5,1.978
2016-12-4,2.147
2017-1-7,2.546
2017-2-8,2.153
2017-3-7,2.254
2017-4-9,2.31
2017-5-6,2.429
2017-6-3,2.222
2017-7-7,2.249
