date,ratings
2009-1-2,0.164
2009-2-1,0.166
2009-3-5,0.174
2009-4-7,0.178
2009-5-1,0.186
2009-6-4,0.252
2009-7-2,0.274
2009-8-1,0.334
2009-9-5,0.383
2009-10-2,0.306
2009-11-2,0.346
2009-12-2,0.483
2010-1-5,0.404
2010-2-7,0.498
2010-3-7,0.521
2010-4-5,0.476
2010-5-15,0.339
2010-7-6,0.314
2010-7-30,0.316
2010-9-11,0.343
2010-10-2,0.361
2010-11-3,0.325
2010-12-7,0.332
2011-1-2,0.373
2011-2-8,0.336
2011-3-8,0.412
2011-4-3,0.442
2011-5-2,0.446
2011-6-5,0.427
2011-6-27,0.427
2011-7-8,0.378
2011-8-3,0.399
2011-9-10,0.327
2011-10-9,0.356
2011-11-7,0.522
2011-12-4,0.414
2012-1-8,0.332
2012-2-5,0.354
2012-3-11,0.328
2012-4-8,0.331
2012-5-9,0.343
2012-6-10,0.339
2012-7-4,0.331
2012-8-10,0.332
2012-9-2,0.356
2012-10-5,0.454
2012-11-4,0.406
2012-12-2,0.391
2013-1-5,0.187
2013-2-8,0.411
2013-3-11,0.32
2013-4-7,0.317
2013-5-8,0.303
2013-6-9,0.308
2013-7-7,0.295
2013-7-12,0.295
2013-8-4,0.354
2013-9-11,0.3
2013-10-10,0.27
2013-11-9,0.269
2013-12-6,0.173
2014-1-1,0.198
2014-2-8,0.206
2014-3-3,0.238
2014-4-10,0.283
2014-5-7,0.298
2014-6-8,0.324
2014-7-6,0.309
2014-8-11,0.374
2014-9-1,0.379
2014-10-3,0.29
2014-11-8,0.387
2014-12-7,0.491
2015-1-6,0.382
2015-2-5,0.411
2015-3-7,0.472
2015-4-13,0.587
2015-5-13,0.731
2015-6-6,0.628
2015-7-12,0.577
2015-8-6,0.643
2015-9-5,0.786
2015-10-4,0.642
2015-11-7,0.598
2015-12-4,0.733
2016-1-2,0.567
2016-2-2,0.794
2016-3-3,0.773
2016-4-7,0.808
2016-5-6,0.929
2016-6-5,0.954
2016-7-4,1.083
2016-8-6,1.049
2016-9-8,0.84
2016-10-7,1.132
2016-11-5,1.083
2016-12-4,1.189
2017-1-7,1.164
2017-2-8,1.5
2017-3-7,1.472
2017-4-9,1.668
2017-5-6,1.668
2017-6-3,1.71
2017-7-7,1.813
