date,ratings
2010-9-11,0.328
2010-10-2,0.325
2010-11-3,0.323
2010-12-7,0.259
2011-1-2,0.263
2011-2-8,0.588
2011-3-8,0.563
2011-4-3,0.342
2011-5-2,0.479
2011-6-5,0.434
2011-6-27,0.434
2011-7-8,0.484
2011-8-3,0.464
2011-9-10,0.309
2011-10-9,0.481
2011-11-7,0.533
2011-12-4,0.364
2012-1-8,0.479
2012-2-5,0.796
2012-3-11,0.784
2012-4-8,0.978
2012-5-9,1.274
2012-6-10,1.216
2012-7-4,0.917
2012-8-10,0.877
2012-9-2,0.84
2012-10-5,0.599
2012-11-4,0.769
2012-12-2,0.889
2013-1-5,1.043
2013-2-8,1.007
2013-3-11,0.888
2013-4-7,1.095
2013-5-8,1.131
2013-6-9,1.067
2013-7-7,1.254
2013-7-12,1.254
2013-8-4,1.32
2013-9-11,1.844
2013-10-10,1.933
2013-11-9,1.969
2013-12-6,1.688
2014-1-1,1.557
2014-2-8,1.798
2014-3-3,1.862
2014-4-10,1.748
2014-5-7,1.264
2014-6-8,1.914
2014-7-6,1.495
2014-8-11,1.31
2014-9-1,1.532
2014-10-3,1.751
2014-11-8,2.061
2014-12-7,2.235
2015-1-6,1.074
2015-2-5,2.026
2015-3-7,2.326
2015-4-13,2.126
2015-5-13,2.968
2015-6-6,3.168
2015-7-12,2.423
2015-8-6,2.708
2015-9-5,2.062
2015-10-4,2.462
2015-11-7,2.223
2015-12-4,2.39
2016-1-2,2.582
2016-2-2,2.454
2016-3-3,2.561
2016-4-7,2.273
2016-5-6,2.325
2016-6-5,2.353
2016-7-4,2.517
2016-8-6,2.518
2016-9-8,2.343
2016-10-7,2.66
2016-11-5,3.167
2016-12-4,3.302
2017-1-7,2.96
2017-2-8,2.824
2017-3-7,3.174
2017-4-9,3.251
2017-5-6,3.391
2017-6-3,3.111
2017-7-7,3.05
